"Date","Price","Open","High","Low","Change %"
"Jun 89","2.7020","2.7020","2.7020","2.7020","-0.81%"
"May 89","2.7240","2.7240","2.7240","2.7240","1.06%"
"Apr 89","2.6955","2.6955","2.6955","2.6955","-2.12%"
"Mar 89","2.7540","2.7540","2.7540","2.7540","0.69%"
"Feb 89","2.7350","2.7350","2.7350","2.7350","0.18%"
"Jan 89","2.7300","2.7300","2.7300","2.7300","0.74%"
"Dec 88","2.7100","2.7100","2.7100","2.7100","1.23%"
"Nov 88","2.6770","2.6770","2.6770","2.6770","0.22%"
"Oct 88","2.6710","2.6710","2.6710","2.6710","-0.60%"
"Sep 88","2.6870","2.6870","2.6870","2.6870","0.34%"
"Aug 88","2.6780","2.6780","2.6780","2.6780","1.55%"
"Jul 88","2.6370","2.6370","2.6370","2.6370","1.03%"
"Jun 88","2.6100","2.6100","2.6100","2.6100","0.81%"
"May 88","2.5890","2.5890","2.5890","2.5890","0.54%"
"Apr 88","2.5750","2.5750","2.5750","2.5750","0.37%"
"Mar 88","2.5655","2.5655","2.5655","2.5655","-0.72%"
"Feb 88","2.5840","2.5840","2.5840","2.5840","1.33%"
"Jan 88","2.5500","2.5500","2.5500","2.5500","2.45%"
"Dec 87","2.4890","2.4890","2.4890","2.4890","0.08%"
"Nov 87","2.4870","2.4870","2.4870","2.4870","-1.13%"
"Oct 87","2.5155","2.5155","2.5155","2.5155","-0.79%"
"Sep 87","2.5355","2.5355","2.5355","2.5355","0.78%"
"Aug 87","2.5160","2.5160","2.5160","2.5160","-0.96%"
"Jul 87","2.5405","2.5405","2.5405","2.5405","0.47%"
"Jun 87","2.5285","2.5285","2.5285","2.5285","1.18%"
"May 87","2.4990","2.4990","2.4990","2.4990","0.91%"
"Apr 87","2.4765","2.4765","2.4765","2.4765","-1.18%"
